"no","Agex","Agex_h","p11","p12","p13","p21","p22","p23","name"
"1","57","58","0.92727","0.07224","0.00049","0.18165","0.80173","0.01662","ATMsr"
"1","58","59","0.92445","0.07499","0.00056","0.17881","0.80285","0.01834","ATMsr"
"1","59","60","0.92152","0.07783","0.00065","0.17599","0.80379","0.02023","ATMsr"
"1","60","61","0.91848","0.08077","0.00074","0.17317","0.80452","0.02231","ATMsr"
"1","61","62","0.91533","0.08381","0.00086","0.17036","0.80505","0.02459","ATMsr"
"1","62","63","0.91207","0.08695","0.00098","0.16755","0.80534","0.02711","ATMsr"
"1","63","64","0.90868","0.09018","0.00113","0.16475","0.80538","0.02988","ATMsr"
"1","64","65","0.90518","0.09352","0.00130","0.16194","0.80514","0.03292","ATMsr"
"1","65","66","0.90154","0.09696","0.00150","0.15913","0.80461","0.03626","ATMsr"
"1","66","67","0.89777","0.10051","0.00172","0.15632","0.80376","0.03993","ATMsr"
"1","67","68","0.89387","0.10416","0.00198","0.15350","0.80255","0.04395","ATMsr"
"1","68","69","0.88982","0.10791","0.00227","0.15067","0.80097","0.04836","ATMsr"
"1","69","70","0.88562","0.11177","0.00261","0.14783","0.79897","0.05320","ATMsr"
"1","70","71","0.88127","0.11573","0.00300","0.14497","0.79653","0.05849","ATMsr"
"1","71","72","0.87676","0.11980","0.00344","0.14210","0.79362","0.06429","ATMsr"
"1","72","73","0.87208","0.12397","0.00395","0.13920","0.79018","0.07062","ATMsr"
"1","73","74","0.86723","0.12824","0.00453","0.13629","0.78618","0.07753","ATMsr"
"1","74","75","0.86220","0.13260","0.00520","0.13334","0.78158","0.08507","ATMsr"
"1","75","76","0.85698","0.13706","0.00596","0.13037","0.77634","0.09329","ATMsr"
"1","76","77","0.85156","0.14161","0.00683","0.12737","0.77041","0.10223","ATMsr"
"1","77","78","0.84594","0.14624","0.00782","0.12433","0.76373","0.11194","ATMsr"
"1","78","79","0.84010","0.15094","0.00896","0.12125","0.75628","0.12247","ATMsr"
"1","79","80","0.83404","0.15571","0.01025","0.11814","0.74799","0.13388","ATMsr"
"1","80","81","0.82773","0.16054","0.01173","0.11498","0.73882","0.14620","ATMsr"
"1","81","82","0.82118","0.16541","0.01341","0.11178","0.72872","0.15950","ATMsr"
"1","82","83","0.81435","0.17032","0.01533","0.10853","0.71766","0.17381","ATMsr"
